Object Name,Satellite of,Equatorial Radius [m],Mean Radius [m],Mass [kg],Bulk Density [kg m-3],Semimajor Axis [m],Sidereal Rotation Period [s],Sidereal Orbit Period (Negative Indicates Retrograde) [s],Inclination (Relative to Primary's Equator)[deg],Eccentricity,Axial Tilt [deg],Magnitude [mag],Magnitude Band [UBVRI],Geometric Albedo,Mean Gravity [m s-2],Equatorial Gravity [m-2],Escape Velocity [m s-1],Perihelion [m],Aphelion [m],Luminosity [J s-1],Orbital Motion [rad s-1],Beta Parameter [kg m-1 s-2],Core Radius [m],Mantle Thickness [m]
Titan,Saturn,,2.58E+06,1.35E+23,1.88E+03,1.22E+09,1.38E+06,1.38E+06,0.33,0.03,,8.4,V0,2.00E-01,1.36E+00,,,,,,4.56E-06,6.56E+09,,
Hyperion,Saturn,,1.35E+05,5.59E+18,5.44E+02,1.48E+09,,1.84E+06,0.43,0.1,,14.4,V0,3.00E-01,2.05E-02,,,,,,3.42E-06,1.50E+06,,
Iapetus,Saturn,,7.36E+05,1.81E+21,1.08E+03,3.56E+09,6.85E+06,6.85E+06,14.72,0.03,,11,V0,6.00E-01,2.23E-01,,,,,,9.17E-07,1.77E+08,,
Phoebe,Saturn,,1.07E+05,8.29E+18,1.64E+03,,,,,,,16.4,V0,8.10E-02,4.88E-02,,,,,,,8.51E+06,,
Janus,Saturn,,8.95E+04,1.89E+18,6.30E+02,1.52E+08,6.00E+04,6.00E+04,0.14,0.01,,14.4,V0,7.10E-01,1.58E-02,,,,,,1.05E-04,8.89E+05,,
Epimetheus,Saturn,,5.81E+04,5.26E+17,6.40E+02,1.51E+08,6.00E+04,6.00E+04,0.34,0.01,,15.6,V0,7.30E-01,1.04E-02,,,,,,1.05E-04,3.87E+05,,
Helene,Saturn,,1.76E+04,1.14E+16,5.00E+02,,,,,,,18.4,V0,1.67E+00,2.45E-03,,,,,,,2.16E+04,,
Telesto,Saturn,,1.24E+04,4.05E+15,5.00E+02,,,,,,,18.5,V0,1.00E+00,1.76E-03,,,,,,,1.09E+04,,
Calypso,Saturn,,1.07E+04,2.55E+15,5.00E+02,,,,,,,18.7,V0,1.34E+00,1.49E-03,,,,,,,7.95E+03,,
Atlas,Saturn,,1.51E+04,6.59E+15,4.60E+02,1.38E+08,,5.20E+04,0.3,0,,19,V0,4.00E-01,1.93E-03,,,,,,1.21E-04,1.34E+04,,
